Line,Line2,glucose.low,glucose.high,glucose.main,glycogen.low,glycogen.high,glycogen.main,glycerol.low,glycerol.high,glycerol.main,triglycerides.low,triglycerides.high,triglycerides.main,protein.low,protein.high,protein.main,load.low,load.high,load.main,meanweight.low,meanweight.high,meanweight.main
280,line_280,1.6974,3.74695,1.434195,13.4707,18.0238,12.2774,5.1321,3.77882,4.9413,11.4923,25.995,13.4048,4.49988,5.06695,4.43246,11.6045,12.625,11.6383,786.1725,695.0618,749.0627
287,line_287,1.7014,3.71645,1.433245,16.4853,21.8273,16.6156,5.7805,4.8607,6.0987,12.2184,24.6108,13.2306,4.47975,5.03276,4.39218,12.4794,13.2152,12.3981,804.2862,754.1351,789.9212
306,line_306,1.7223,4.1002,1.49635,16.5231,21.4685,16.4168,5.3266,5.2352,5.9821,11.6049,20.8127,10.6146,4.55652,5.5333,4.8638,12.0585,13.902,12.5637,816.1487,779.689,809.1248
307,line_307,NA,4.933,1.58415,NA,19.5149,14.0986,NA,4.5168,5.2974,NA,33.532,20.3171,NA,5.02209,4.37799,15.453,15.0261,14.8181,NA,825.36,836.88
309,line_309,1.510635,3.467,1.3539,12.3813,17.099,11.0133,5.2183,4.0233,5.1534,11.7247,23.4666,12.1696,4.9297,5.0573,4.815,15.2134,15.1078,14.7,729.372,719.3037,730.2911
310,line_310,1.4603,4.032955,1.42715,10.8686,19.4704,11.6049,4.486,4.6456,4.9806,10.3655,25.5172,12.2985,4.6237,5.3271,4.7578,13.1683,14.8894,13.6137,730.2538,723.262,733.0231
315,line_315,1.7577,4.0215,1.4996,16.5534,17.6788,14.6419,4.8421,4.4339,5.1186,9.4367,24.1492,10.8399,4.6734,4.9661,4.50554,13.1929,13.55489,12.8564,781.6099,771.1064,785.5952
318,line_318,1.3189,3.306,1.29105,12.539,15.4974,10.1568,4.4897,3.5112,4.2877,12.1049,22.0522,11.9039,4.2938,4.9015,4.1089,13.4372,13.51183,12.9832,664.5783,616.7479,642.0628
324,line_324,1.69445,3.4505,1.38995,13.1841,17.0762,11.4709,4.8863,3.85295,4.8024,9.1004,22.8558,9.6309,4.6332,4.9452,4.466351,11.483,13.9896,12.3217,724.0525,664.2928,699.2838
325,line_325,1.2925,3.379,1.29025,7.7918,16.8888,8.3085,4.3593,3.2309,4.0135,14.2828,24.6693,14.7466,4.4011,5.374,4.5874,14.2019,14.9993,14.1495,707.8416,650.0195,682.7655
332,line_332,1.40765,3.5351,1.3426,12.8195,18.1593,11.93047,4.5053,3.531,4.3086,6.6213,20.0132,6.4439,4.46145,4.8707,4.2334,12.3139,14.7604,13.0704,690.2693,681.1867,689.2337
336,line_336,1.767,3.564,1.4217,18.5261,18.5041,15.613,4.5409,4.0879,4.68063,12.4104,23.8454,12.898,4.6099,5.2035,4.6446,12.9332,14.4545,13.288,830.3931,725.6142,789.0167
338,line_338,1.4437,3.5025,1.34565,16.2424,20.0853,15.2149,4.4551,3.77637,4.4242,7.3219,20.7322,7.3722,4.799,5.2121,4.8252,12.2089,12.4225,11.7952,764.7176,752.6115,767.0193
350,line_350,1.72615,4.9005,1.616,12.8071,19.1534,12.6975,4.4829,3.78368,4.4461,10.616,25.6209,12.3296,4.41485,5.2245,4.47859,13.0677,14.0568,13.0077,731.2377,700.464,721.5146
352,line_352,1.23985,3.1495,1.2515,10.7782,15.7614,9.2637,4.1693,2.7944,3.6047,7.2998,18.8042,6.2863,4.56377,4.8581,4.3212,11.5998,12.4455,11.5252,700.5549,645.344,676.5744
