OID,Seal,Year,Month,Day,X,Y,Zone
419,1,2002,11,10,1754167.05975,-409283.405315,Kara Sea
420,3,2002,11,10,1759457.0313,-402969.454154,Kara Sea
421,20,2002,11,12,1702111.35824,-566217.086756,Kara Sea
422,3,2002,11,12,1704087.38935,-554239.639975,Kara Sea
423,7,2002,11,12,1705030.47062,-545237.814056,Kara Sea
424,4,2002,11,12,1713544.89915,-511372.715701,Kara Sea
425,1,2003,1,29,1740662.92498,-1382933.15827,Barents Sea
426,1,2003,1,29,1741065.13028,-1382426.76144,Barents Sea
427,1,2003,1,29,1744551.75163,-1381062.91845,Barents Sea
428,1,2003,1,30,1663910.07828,-1102014.24377,Kara Sea
429,1,2003,1,30,1737199.13085,-1116689.75916,Kara Sea
430,1,2003,2,3,1756732.49896,-380888.946044,Kara Sea
431,1,2003,2,3,1755240.53444,-378962.02374,Kara Sea
